mutant_id,project,bug_id,mutant_no,operator,category,class,line,killed,llm_score,llm_raw_response,llm_latency_ms,model_used
Lang-1-0033,Lang,1,33,LVR,arithmetic,org.apache.commons.lang3.math.NumberUtils,64,1,0.1,0.1,799,Qwen/Qwen3-8B
Lang-1-0034,Lang,1,34,LVR,arithmetic,org.apache.commons.lang3.math.NumberUtils,66,1,0.1,0.1,879,Qwen/Qwen3-8B
Lang-1-0035,Lang,1,35,LVR,arithmetic,org.apache.commons.lang3.math.NumberUtils,66,1,0.1,0.1,874,Qwen/Qwen3-8B
Lang-1-0036,Lang,1,36,ORU,return_value,org.apache.commons.lang3.math.NumberUtils,68,1,0.1,0.1,801,Qwen/Qwen3-8B
Lang-1-0037,Lang,1,37,LVR,arithmetic,org.apache.commons.lang3.math.NumberUtils,68,1,0.1,0.1,795,Qwen/Qwen3-8B
Lang-1-0038,Lang,1,38,LVR,arithmetic,org.apache.commons.lang3.math.NumberUtils,68,1,0.1,0.1,795,Qwen/Qwen3-8B
Lang-1-0039,Lang,1,39,LVR,arithmetic,org.apache.commons.lang3.math.NumberUtils,100,1,0.95,0.95,829,Qwen/Qwen3-8B
Lang-1-0040,Lang,1,40,LVR,arithmetic,org.apache.commons.lang3.math.NumberUtils,100,1,0.85,0.85,851,Qwen/Qwen3-8B
Lang-1-0041,Lang,1,41,ROR,relational,org.apache.commons.lang3.math.NumberUtils,121,0,0.95,0.95,832,Qwen/Qwen3-8B
Lang-1-0042,Lang,1,42,LVR,arithmetic,org.apache.commons.lang3.math.NumberUtils,149,1,0.15,0.15,827,Qwen/Qwen3-8B
Lang-1-0043,Lang,1,43,LVR,arithmetic,org.apache.commons.lang3.math.NumberUtils,149,1,0.15,0.15,829,Qwen/Qwen3-8B
Lang-1-0044,Lang,1,44,ROR,relational,org.apache.commons.lang3.math.NumberUtils,170,0,0.95,0.95,826,Qwen/Qwen3-8B
Lang-1-0045,Lang,1,45,LVR,arithmetic,org.apache.commons.lang3.math.NumberUtils,199,1,0.1,0.1,745,Qwen/Qwen3-8B
Lang-1-0046,Lang,1,46,LVR,arithmetic,org.apache.commons.lang3.math.NumberUtils,199,1,0.1,0.1,749,Qwen/Qwen3-8B
Lang-1-0047,Lang,1,47,ROR,relational,org.apache.commons.lang3.math.NumberUtils,222,1,0.75,0.75,820,Qwen/Qwen3-8B
Lang-1-0048,Lang,1,48,LVR,arithmetic,org.apache.commons.lang3.math.NumberUtils,251,1,0.1,0.1,743,Qwen/Qwen3-8B
Lang-1-0049,Lang,1,49,LVR,arithmetic,org.apache.commons.lang3.math.NumberUtils,251,1,0.1,0.1,743,Qwen/Qwen3-8B
Lang-1-0050,Lang,1,50,ROR,relational,org.apache.commons.lang3.math.NumberUtils,274,1,0.75,0.75,813,Qwen/Qwen3-8B
Lang-1-0051,Lang,1,51,LVR,arithmetic,org.apache.commons.lang3.math.NumberUtils,303,0,0.15,0.15,821,Qwen/Qwen3-8B
Lang-1-0052,Lang,1,52,LVR,arithmetic,org.apache.commons.lang3.math.NumberUtils,303,0,0.15,0.15,824,Qwen/Qwen3-8B
Lang-1-0053,Lang,1,53,ROR,relational,org.apache.commons.lang3.math.NumberUtils,324,0,0.95,0.95,815,Qwen/Qwen3-8B
Lang-1-0054,Lang,1,54,LVR,arithmetic,org.apache.commons.lang3.math.NumberUtils,352,0,0.15,0.15,815,Qwen/Qwen3-8B
Lang-1-0055,Lang,1,55,LVR,arithmetic,org.apache.commons.lang3.math.NumberUtils,352,0,0.15,0.15,811,Qwen/Qwen3-8B
Lang-1-0056,Lang,1,56,ROR,relational,org.apache.commons.lang3.math.NumberUtils,373,0,0.95,0.95,822,Qwen/Qwen3-8B
Lang-1-0057,Lang,1,57,ROR,relational,org.apache.commons.lang3.math.NumberUtils,451,1,0.95,0.95,821,Qwen/Qwen3-8B
Lang-1-0058,Lang,1,58,COR,logical,org.apache.commons.lang3.math.NumberUtils,454,1,0.75,0.75,816,Qwen/Qwen3-8B
Lang-1-0059,Lang,1,59,COR,logical,org.apache.commons.lang3.math.NumberUtils,454,1,0.75,0.75,818,Qwen/Qwen3-8B
Lang-1-0060,Lang,1,60,LVR,arithmetic,org.apache.commons.lang3.math.NumberUtils,459,1,0.75,0.75,809,Qwen/Qwen3-8B
Lang-1-0061,Lang,1,61,LVR,arithmetic,org.apache.commons.lang3.math.NumberUtils,459,1,0.75,0.75,810,Qwen/Qwen3-8B
Lang-1-0062,Lang,1,62,COR,logical,org.apache.commons.lang3.math.NumberUtils,461,1,0.3,0.3,748,Qwen/Qwen3-8B
Lang-1-0063,Lang,1,63,COR,logical,org.apache.commons.lang3.math.NumberUtils,461,1,0.75,0.75,836,Qwen/Qwen3-8B
Lang-1-0064,Lang,1,64,STD,statement_deletion,org.apache.commons.lang3.math.NumberUtils,462,1,0.15,0.15,819,Qwen/Qwen3-8B
Lang-1-0065,Lang,1,65,LVR,arithmetic,org.apache.commons.lang3.math.NumberUtils,466,1,0.75,0.75,812,Qwen/Qwen3-8B
Lang-1-0066,Lang,1,66,LVR,arithmetic,org.apache.commons.lang3.math.NumberUtils,466,1,0.75,0.75,814,Qwen/Qwen3-8B
Lang-1-0067,Lang,1,67,ROR,relational,org.apache.commons.lang3.math.NumberUtils,466,0,0.75,0.75,823,Qwen/Qwen3-8B
Lang-1-0068,Lang,1,68,ROR,relational,org.apache.commons.lang3.math.NumberUtils,466,1,0.75,0.75,814,Qwen/Qwen3-8B
Lang-1-0069,Lang,1,69,ROR,relational,org.apache.commons.lang3.math.NumberUtils,466,1,0.75,0.75,815,Qwen/Qwen3-8B
Lang-1-0070,Lang,1,70,LVR,arithmetic,org.apache.commons.lang3.math.NumberUtils,467,0,0.75,0.75,808,Qwen/Qwen3-8B
Lang-1-0071,Lang,1,71,LVR,arithmetic,org.apache.commons.lang3.math.NumberUtils,467,0,0.75,0.75,804,Qwen/Qwen3-8B
Lang-1-0072,Lang,1,72,ROR,relational,org.apache.commons.lang3.math.NumberUtils,468,0,0.3,0.3,741,Qwen/Qwen3-8B
Lang-1-0073,Lang,1,73,ROR,relational,org.apache.commons.lang3.math.NumberUtils,468,1,0.75,0.75,801,Qwen/Qwen3-8B
Lang-1-0074,Lang,1,74,ROR,relational,org.apache.commons.lang3.math.NumberUtils,468,1,0.3,0.3,720,Qwen/Qwen3-8B
Lang-1-0075,Lang,1,75,STD,statement_deletion,org.apache.commons.lang3.math.NumberUtils,469,1,0.15,0.15,791,Qwen/Qwen3-8B
Lang-1-0076,Lang,1,76,ROR,relational,org.apache.commons.lang3.math.NumberUtils,470,0,0.75,0.75,805,Qwen/Qwen3-8B
Lang-1-0077,Lang,1,77,ROR,relational,org.apache.commons.lang3.math.NumberUtils,470,1,0.75,0.75,812,Qwen/Qwen3-8B
Lang-1-0078,Lang,1,78,ROR,relational,org.apache.commons.lang3.math.NumberUtils,470,1,0.75,0.75,807,Qwen/Qwen3-8B
Lang-1-0079,Lang,1,79,STD,statement_deletion,org.apache.commons.lang3.math.NumberUtils,471,1,0.15,0.15,825,Qwen/Qwen3-8B
Lang-1-0080,Lang,1,80,AOR,arithmetic,org.apache.commons.lang3.math.NumberUtils,476,1,0.75,0.75,821,Qwen/Qwen3-8B
Lang-1-0081,Lang,1,81,AOR,arithmetic,org.apache.commons.lang3.math.NumberUtils,476,1,0.75,0.75,820,Qwen/Qwen3-8B
Lang-1-0082,Lang,1,82,AOR,arithmetic,org.apache.commons.lang3.math.NumberUtils,476,1,0.75,0.75,823,Qwen/Qwen3-8B
Lang-1-0083,Lang,1,83,AOR,arithmetic,org.apache.commons.lang3.math.NumberUtils,476,1,0.75,0.75,822,Qwen/Qwen3-8B
Lang-1-0084,Lang,1,84,LVR,arithmetic,org.apache.commons.lang3.math.NumberUtils,477,1,0.75,0.75,813,Qwen/Qwen3-8B
Lang-1-0085,Lang,1,85,LVR,arithmetic,org.apache.commons.lang3.math.NumberUtils,477,1,0.75,0.75,806,Qwen/Qwen3-8B
Lang-1-0086,Lang,1,86,ROR,relational,org.apache.commons.lang3.math.NumberUtils,477,1,0.75,0.75,813,Qwen/Qwen3-8B
Lang-1-0087,Lang,1,87,ROR,relational,org.apache.commons.lang3.math.NumberUtils,477,1,0.75,0.75,819,Qwen/Qwen3-8B
Lang-1-0088,Lang,1,88,ROR,relational,org.apache.commons.lang3.math.NumberUtils,477,1,0.75,0.75,816,Qwen/Qwen3-8B
Lang-1-0089,Lang,1,89,LVR,arithmetic,org.apache.commons.lang3.math.NumberUtils,477,1,0.75,0.75,818,Qwen/Qwen3-8B
Lang-1-0090,Lang,1,90,LVR,arithmetic,org.apache.commons.lang3.math.NumberUtils,477,1,0.75,0.75,814,Qwen/Qwen3-8B
Lang-1-0091,Lang,1,91,ROR,relational,org.apache.commons.lang3.math.NumberUtils,477,1,0.75,0.75,819,Qwen/Qwen3-8B
Lang-1-0092,Lang,1,92,ROR,relational,org.apache.commons.lang3.math.NumberUtils,477,0,0.75,0.75,823,Qwen/Qwen3-8B
Lang-1-0093,Lang,1,93,ROR,relational,org.apache.commons.lang3.math.NumberUtils,477,1,0.75,0.75,821,Qwen/Qwen3-8B
Lang-1-0094,Lang,1,94,ROR,relational,org.apache.commons.lang3.math.NumberUtils,477,0,0.75,0.75,820,Qwen/Qwen3-8B
Lang-1-0095,Lang,1,95,ROR,relational,org.apache.commons.lang3.math.NumberUtils,477,1,0.75,0.75,817,Qwen/Qwen3-8B
Lang-1-0096,Lang,1,96,ROR,relational,org.apache.commons.lang3.math.NumberUtils,477,1,0.75,0.75,844,Qwen/Qwen3-8B
Lang-1-0097,Lang,1,97,COR,logical,org.apache.commons.lang3.math.NumberUtils,477,1,0.75,0.75,831,Qwen/Qwen3-8B
Lang-1-0098,Lang,1,98,COR,logical,org.apache.commons.lang3.math.NumberUtils,477,1,0.75,0.75,831,Qwen/Qwen3-8B
Lang-1-0099,Lang,1,99,COR,logical,org.apache.commons.lang3.math.NumberUtils,477,1,0.75,0.75,822,Qwen/Qwen3-8B
Lang-1-0100,Lang,1,100,COR,logical,org.apache.commons.lang3.math.NumberUtils,477,1,0.75,0.75,828,Qwen/Qwen3-8B
Lang-1-0101,Lang,1,101,COR,logical,org.apache.commons.lang3.math.NumberUtils,477,0,0.75,0.75,831,Qwen/Qwen3-8B
Lang-1-0102,Lang,1,102,COR,logical,org.apache.commons.lang3.math.NumberUtils,477,1,0.75,0.75,835,Qwen/Qwen3-8B
Lang-1-0103,Lang,1,103,COR,logical,org.apache.commons.lang3.math.NumberUtils,477,1,0.75,0.75,823,Qwen/Qwen3-8B
Lang-1-0104,Lang,1,104,COR,logical,org.apache.commons.lang3.math.NumberUtils,477,1,0.75,0.75,831,Qwen/Qwen3-8B
Lang-1-0105,Lang,1,105,LVR,arithmetic,org.apache.commons.lang3.math.NumberUtils,480,1,0.75,0.75,840,Qwen/Qwen3-8B
Lang-1-0106,Lang,1,106,LVR,arithmetic,org.apache.commons.lang3.math.NumberUtils,480,1,0.75,0.75,857,Qwen/Qwen3-8B
Lang-1-0107,Lang,1,107,ROR,relational,org.apache.commons.lang3.math.NumberUtils,480,1,0.75,0.75,838,Qwen/Qwen3-8B
Lang-1-0108,Lang,1,108,ROR,relational,org.apache.commons.lang3.math.NumberUtils,480,1,0.75,0.75,837,Qwen/Qwen3-8B
Lang-1-0109,Lang,1,109,ROR,relational,org.apache.commons.lang3.math.NumberUtils,480,1,0.75,0.75,836,Qwen/Qwen3-8B
Lang-1-0110,Lang,1,110,LVR,arithmetic,org.apache.commons.lang3.math.NumberUtils,480,1,0.75,0.75,836,Qwen/Qwen3-8B
Lang-1-0111,Lang,1,111,LVR,arithmetic,org.apache.commons.lang3.math.NumberUtils,480,1,0.75,0.75,838,Qwen/Qwen3-8B
Lang-1-0112,Lang,1,112,ROR,relational,org.apache.commons.lang3.math.NumberUtils,480,1,0.75,0.75,843,Qwen/Qwen3-8B
Lang-1-0113,Lang,1,113,ROR,relational,org.apache.commons.lang3.math.NumberUtils,480,0,0.75,0.75,845,Qwen/Qwen3-8B
Lang-1-0114,Lang,1,114,ROR,relational,org.apache.commons.lang3.math.NumberUtils,480,1,0.75,0.75,841,Qwen/Qwen3-8B
Lang-1-0115,Lang,1,115,ROR,relational,org.apache.commons.lang3.math.NumberUtils,480,1,0.75,0.75,844,Qwen/Qwen3-8B
Lang-1-0116,Lang,1,116,ROR,relational,org.apache.commons.lang3.math.NumberUtils,480,1,0.75,0.75,844,Qwen/Qwen3-8B
Lang-1-0117,Lang,1,117,ROR,relational,org.apache.commons.lang3.math.NumberUtils,480,1,0.75,0.75,842,Qwen/Qwen3-8B
Lang-1-0118,Lang,1,118,COR,logical,org.apache.commons.lang3.math.NumberUtils,480,0,0.75,0.75,837,Qwen/Qwen3-8B
Lang-1-0119,Lang,1,119,COR,logical,org.apache.commons.lang3.math.NumberUtils,480,1,0.75,0.75,845,Qwen/Qwen3-8B
Lang-1-0120,Lang,1,120,COR,logical,org.apache.commons.lang3.math.NumberUtils,480,1,0.75,0.75,842,Qwen/Qwen3-8B
Lang-1-0121,Lang,1,121,COR,logical,org.apache.commons.lang3.math.NumberUtils,480,1,0.75,0.75,839,Qwen/Qwen3-8B
Lang-1-0122,Lang,1,122,COR,logical,org.apache.commons.lang3.math.NumberUtils,480,0,0.15,0.15,848,Qwen/Qwen3-8B
Lang-1-0123,Lang,1,123,COR,logical,org.apache.commons.lang3.math.NumberUtils,480,1,0.75,0.75,844,Qwen/Qwen3-8B
Lang-1-0124,Lang,1,124,COR,logical,org.apache.commons.lang3.math.NumberUtils,480,1,0.75,0.75,840,Qwen/Qwen3-8B
Lang-1-0125,Lang,1,125,COR,logical,org.apache.commons.lang3.math.NumberUtils,480,1,0.75,0.75,848,Qwen/Qwen3-8B
Lang-1-0126,Lang,1,126,LVR,arithmetic,org.apache.commons.lang3.math.NumberUtils,485,1,0.75,0.75,844,Qwen/Qwen3-8B
Lang-1-0127,Lang,1,127,LVR,arithmetic,org.apache.commons.lang3.math.NumberUtils,485,1,0.75,0.75,849,Qwen/Qwen3-8B
Lang-1-0128,Lang,1,128,AOR,arithmetic,org.apache.commons.lang3.math.NumberUtils,485,1,0.75,0.75,846,Qwen/Qwen3-8B
Lang-1-0129,Lang,1,129,AOR,arithmetic,org.apache.commons.lang3.math.NumberUtils,485,1,0.75,0.75,846,Qwen/Qwen3-8B
Lang-1-0130,Lang,1,130,AOR,arithmetic,org.apache.commons.lang3.math.NumberUtils,485,1,0.75,0.75,843,Qwen/Qwen3-8B
Lang-1-0131,Lang,1,131,AOR,arithmetic,org.apache.commons.lang3.math.NumberUtils,485,1,0.75,0.75,845,Qwen/Qwen3-8B
Lang-1-0132,Lang,1,132,AOR,arithmetic,org.apache.commons.lang3.math.NumberUtils,490,1,0.75,0.75,858,Qwen/Qwen3-8B
Lang-1-0133,Lang,1,133,AOR,arithmetic,org.apache.commons.lang3.math.NumberUtils,490,1,0.75,0.75,865,Qwen/Qwen3-8B
Lang-1-0134,Lang,1,134,AOR,arithmetic,org.apache.commons.lang3.math.NumberUtils,490,1,0.75,0.75,863,Qwen/Qwen3-8B
Lang-1-0135,Lang,1,135,AOR,arithmetic,org.apache.commons.lang3.math.NumberUtils,490,1,0.75,0.75,880,Qwen/Qwen3-8B
Lang-1-0136,Lang,1,136,LVR,arithmetic,org.apache.commons.lang3.math.NumberUtils,490,1,0.75,0.75,855,Qwen/Qwen3-8B
Lang-1-0137,Lang,1,137,LVR,arithmetic,org.apache.commons.lang3.math.NumberUtils,490,1,0.75,0.75,870,Qwen/Qwen3-8B
Lang-1-0138,Lang,1,138,AOR,arithmetic,org.apache.commons.lang3.math.NumberUtils,490,1,0.75,0.75,863,Qwen/Qwen3-8B
Lang-1-0139,Lang,1,139,AOR,arithmetic,org.apache.commons.lang3.math.NumberUtils,490,1,0.75,0.75,853,Qwen/Qwen3-8B
Lang-1-0140,Lang,1,140,AOR,arithmetic,org.apache.commons.lang3.math.NumberUtils,490,1,0.75,0.75,855,Qwen/Qwen3-8B
Lang-1-0141,Lang,1,141,AOR,arithmetic,org.apache.commons.lang3.math.NumberUtils,490,1,0.75,0.75,854,Qwen/Qwen3-8B
Lang-1-0142,Lang,1,142,LVR,arithmetic,org.apache.commons.lang3.math.NumberUtils,494,0,0.75,0.75,946,Qwen/Qwen3-8B
Lang-1-0143,Lang,1,143,LVR,arithmetic,org.apache.commons.lang3.math.NumberUtils,494,0,0.75,0.75,940,Qwen/Qwen3-8B
Lang-1-0144,Lang,1,144,LVR,arithmetic,org.apache.commons.lang3.math.NumberUtils,495,1,0.75,0.75,941,Qwen/Qwen3-8B
Lang-1-0145,Lang,1,145,LVR,arithmetic,org.apache.commons.lang3.math.NumberUtils,495,1,0.75,0.75,942,Qwen/Qwen3-8B
Lang-1-0146,Lang,1,146,ROR,relational,org.apache.commons.lang3.math.NumberUtils,495,0,0.75,0.75,943,Qwen/Qwen3-8B
Lang-1-0147,Lang,1,147,ROR,relational,org.apache.commons.lang3.math.NumberUtils,495,1,0.75,0.75,942,Qwen/Qwen3-8B
Lang-1-0148,Lang,1,148,ROR,relational,org.apache.commons.lang3.math.NumberUtils,495,1,0.75,0.75,961,Qwen/Qwen3-8B
Lang-1-0149,Lang,1,149,LVR,arithmetic,org.apache.commons.lang3.math.NumberUtils,497,0,0.75,0.75,923,Qwen/Qwen3-8B
Lang-1-0150,Lang,1,150,LVR,arithmetic,org.apache.commons.lang3.math.NumberUtils,497,0,0.75,0.75,925,Qwen/Qwen3-8B
Lang-1-0151,Lang,1,151,ROR,relational,org.apache.commons.lang3.math.NumberUtils,497,0,0.75,0.75,922,Qwen/Qwen3-8B
Lang-1-0152,Lang,1,152,ROR,relational,org.apache.commons.lang3.math.NumberUtils,497,1,0.75,0.75,918,Qwen/Qwen3-8B
Lang-1-0153,Lang,1,153,ROR,relational,org.apache.commons.lang3.math.NumberUtils,497,1,0.75,0.75,923,Qwen/Qwen3-8B
Lang-1-0154,Lang,1,154,ROR,relational,org.apache.commons.lang3.math.NumberUtils,498,1,0.75,0.75,839,Qwen/Qwen3-8B
Lang-1-0155,Lang,1,155,ROR,relational,org.apache.commons.lang3.math.NumberUtils,498,0,0.75,0.75,847,Qwen/Qwen3-8B
Lang-1-0156,Lang,1,156,ROR,relational,org.apache.commons.lang3.math.NumberUtils,498,1,0.75,0.75,852,Qwen/Qwen3-8B
Lang-1-0157,Lang,1,157,ROR,relational,org.apache.commons.lang3.math.NumberUtils,498,1,0.75,0.75,852,Qwen/Qwen3-8B
Lang-1-0158,Lang,1,158,ROR,relational,org.apache.commons.lang3.math.NumberUtils,498,0,0.75,0.75,842,Qwen/Qwen3-8B
Lang-1-0159,Lang,1,159,ROR,relational,org.apache.commons.lang3.math.NumberUtils,498,1,0.75,0.75,862,Qwen/Qwen3-8B
Lang-1-0160,Lang,1,160,COR,logical,org.apache.commons.lang3.math.NumberUtils,498,0,0.75,0.75,853,Qwen/Qwen3-8B
Lang-1-0161,Lang,1,161,COR,logical,org.apache.commons.lang3.math.NumberUtils,498,1,0.75,0.75,847,Qwen/Qwen3-8B
Lang-1-0162,Lang,1,162,COR,logical,org.apache.commons.lang3.math.NumberUtils,498,1,0.75,0.75,837,Qwen/Qwen3-8B
Lang-1-0163,Lang,1,163,COR,logical,org.apache.commons.lang3.math.NumberUtils,498,1,0.75,0.75,842,Qwen/Qwen3-8B
Lang-1-0164,Lang,1,164,LVR,arithmetic,org.apache.commons.lang3.math.NumberUtils,501,1,0.75,0.75,833,Qwen/Qwen3-8B
Lang-1-0165,Lang,1,165,LVR,arithmetic,org.apache.commons.lang3.math.NumberUtils,501,1,0.75,0.75,836,Qwen/Qwen3-8B
Lang-1-0166,Lang,1,166,AOR,arithmetic,org.apache.commons.lang3.math.NumberUtils,501,1,0.35,0.35,845,Qwen/Qwen3-8B
Lang-1-0167,Lang,1,167,AOR,arithmetic,org.apache.commons.lang3.math.NumberUtils,501,1,0.75,0.75,842,Qwen/Qwen3-8B
Lang-1-0168,Lang,1,168,AOR,arithmetic,org.apache.commons.lang3.math.NumberUtils,501,1,0.75,0.75,843,Qwen/Qwen3-8B
Lang-1-0169,Lang,1,169,AOR,arithmetic,org.apache.commons.lang3.math.NumberUtils,501,1,0.35,0.35,837,Qwen/Qwen3-8B
Lang-1-0170,Lang,1,170,LVR,arithmetic,org.apache.commons.lang3.math.NumberUtils,503,0,0.35,0.35,842,Qwen/Qwen3-8B
Lang-1-0171,Lang,1,171,LVR,arithmetic,org.apache.commons.lang3.math.NumberUtils,503,1,0.35,0.35,871,Qwen/Qwen3-8B
Lang-1-0172,Lang,1,172,AOR,arithmetic,org.apache.commons.lang3.math.NumberUtils,503,0,0.35,0.35,847,Qwen/Qwen3-8B
Lang-1-0173,Lang,1,173,AOR,arithmetic,org.apache.commons.lang3.math.NumberUtils,503,0,0.35,0.35,844,Qwen/Qwen3-8B
Lang-1-0174,Lang,1,174,AOR,arithmetic,org.apache.commons.lang3.math.NumberUtils,503,1,0.35,0.35,846,Qwen/Qwen3-8B
Lang-1-0175,Lang,1,175,AOR,arithmetic,org.apache.commons.lang3.math.NumberUtils,503,0,0.35,0.35,854,Qwen/Qwen3-8B
Lang-1-0176,Lang,1,176,LVR,arithmetic,org.apache.commons.lang3.math.NumberUtils,505,1,0.75,0.75,823,Qwen/Qwen3-8B
Lang-1-0177,Lang,1,177,LVR,arithmetic,org.apache.commons.lang3.math.NumberUtils,505,1,0.75,0.75,813,Qwen/Qwen3-8B
Lang-1-0178,Lang,1,178,STD,statement_deletion,org.apache.commons.lang3.math.NumberUtils,506,1,0.75,0.75,824,Qwen/Qwen3-8B
Lang-1-0179,Lang,1,179,LVR,arithmetic,org.apache.commons.lang3.math.NumberUtils,508,0,0.75,0.75,819,Qwen/Qwen3-8B
Lang-1-0180,Lang,1,180,LVR,arithmetic,org.apache.commons.lang3.math.NumberUtils,508,0,0.3,0.3,742,Qwen/Qwen3-8B
Lang-1-0181,Lang,1,181,ROR,relational,org.apache.commons.lang3.math.NumberUtils,508,0,0.3,0.3,748,Qwen/Qwen3-8B
Lang-1-0182,Lang,1,182,ROR,relational,org.apache.commons.lang3.math.NumberUtils,508,1,0.3,0.3,741,Qwen/Qwen3-8B
Lang-1-0183,Lang,1,183,ROR,relational,org.apache.commons.lang3.math.NumberUtils,508,0,0.3,0.3,748,Qwen/Qwen3-8B
Lang-1-0184,Lang,1,184,ROR,relational,org.apache.commons.lang3.math.NumberUtils,509,1,0.75,0.75,827,Qwen/Qwen3-8B
Lang-1-0185,Lang,1,185,ROR,relational,org.apache.commons.lang3.math.NumberUtils,509,0,0.75,0.75,819,Qwen/Qwen3-8B
Lang-1-0186,Lang,1,186,ROR,relational,org.apache.commons.lang3.math.NumberUtils,509,1,0.75,0.75,817,Qwen/Qwen3-8B
